_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,amenities_count,administrative_division,region,country,longitude,latitude,annual_availability,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,host_id,host_response_rate,host_total_listings_count,superhost,host_neighbourhood
4865672,Apartment,Entire home/apt,Real Bed,31,1125,moderate,2019-03-11,2,1,1,88,1,101.0,0.0,50.0,50,2,25,Montréal,Quebec,Canada,-73.5777,45.52375,157,9.0,8.0,9.0,9.0,10.0,9.0,84.0,13971026,94.0,2,False,Le Plateau
4870358,Serviced apartment,Entire home/apt,Real Bed,1,1125,Strict_14,2019-02-18,3,1,1,62,1,174.0,0.0,0.0,24,1,22,İstanbul,Istanbul,Turkey,28.99034,41.03599,291,9.0,10.0,9.0,9.0,9.0,9.0,93.0,5829222,92.0,8,False,Şişli
4872526,Apartment,Entire home/apt,Real Bed,1,2,Strict_14,2019-03-07,3,2,2,10,1,151.0,500.0,50.0,15,3,28,Bilgola Plateau,New South Wales,Australia,151.31998,-33.64825,356,10.0,10.0,10.0,10.0,10.0,9.0,96.0,25065391,100.0,1,False,
4875052,Apartment,Entire home/apt,Real Bed,4,90,Strict_14,2019-02-11,3,1,2,64,1,209.0,600.0,100.0,100,3,14,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18762322712818,-22.973476307102754,203,10.0,9.0,10.0,10.0,10.0,9.0,95.0,4255118,93.0,60,False,Copacabana
4885595,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-07,2,1,1,36,1,130.0,300.0,65.0,20,3,22,Queens,New York,United States,-73.92493,40.77029,267,10.0,10.0,10.0,10.0,9.0,9.0,93.0,25134822,100.0,2,False,Astoria
4887250,Apartment,Private room,Real Bed,1,1125,Strict_14,2019-03-07,3,1,2,126,1,95.0,0.0,20.0,20,2,27,Queens,New York,United States,-73.94712,40.74741,342,9.0,8.0,9.0,9.0,10.0,9.0,90.0,1705071,82.0,2,False,Long Island City
4889801,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-16,2,0,1,15,1,48.0,0.0,0.0,0,1,13,Porto,Grande Porto,Portugal,-8.60669,41.14853,233,10.0,10.0,9.0,10.0,10.0,9.0,93.0,21117355,80.0,13,True,
4894520,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-11,2,1,1,11,1,42.0,0.0,10.0,0,2,14,Montréal,Quebec,Canada,-73.58779,45.52304,134,9.0,9.0,10.0,10.0,10.0,10.0,93.0,25167548,100.0,1,False,Mile End
4898509,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-02-16,4,1,2,6,1,60.0,0.0,94.0748,5,2,17,Porto,Grande Porto,Portugal,-8.62362,41.16075,210,10.0,10.0,10.0,10.0,9.0,10.0,100.0,22895173,100.0,3,False,
490098,Apartment,Entire home/apt,Real Bed,2,30,moderate,2019-02-11,2,1,1,101,1,261.0,625.0,168.0,0,1,25,Rio de Janeiro,Rio De Janeiro,Brazil,-43.22620317989102,-22.983939895931087,149,10.0,9.0,10.0,10.0,10.0,10.0,98.0,2423945,100.0,1,True,Leblon
4901235,Apartment,Private room,Real Bed,3,90,Strict_14,2019-03-08,2,1,1,31,1,35.0,0.0,10.0,0,1,13,Barcelona,Catalonia,Spain,2.19017,41.37572,0,9.0,9.0,9.0,10.0,10.0,9.0,90.0,5488247,0.0,1,False,
4902451,Apartment,Entire home/apt,Real Bed,3,360,Strict_14,2019-02-11,3,1,1,6,1,254.0,0.0,180.0,-76,3,18,Rio de Janeiro,Rio De Janeiro,Brazil,-43.22646361977887,-22.982480566105338,26,10.0,10.0,10.0,10.0,10.0,9.0,100.0,25236936,90.0,1,False,Leblon
4906949,Apartment,Entire home/apt,Real Bed,2,1125,Strict_14,2019-03-11,3,1,1,4,1,75.0,200.0,30.0,0,1,15,Montréal,Quebec,Canada,-73.59452,45.5274,0,10.0,10.0,8.0,9.0,10.0,10.0,90.0,7422015,0.0,1,False,Mile End
4915245,Apartment,Entire home/apt,Real Bed,3,1125,Strict_14,2019-02-11,2,1,2,91,1,86.0,350.0,80.0,0,1,22,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18988836219794,-22.974900031194963,82,10.0,10.0,10.0,10.0,10.0,10.0,99.0,25310243,100.0,2,True,Copacabana
4919014,Apartment,Entire home/apt,Real Bed,6,365,Strict_14,2019-03-07,3,1,1,24,1,264.0,0.0,94.0748,15,2,32,Manly,New South Wales,Australia,151.28582,-33.79526,293,10.0,10.0,10.0,10.0,10.0,10.0,98.0,25335674,100.0,3,True,Manly
4924343,Serviced apartment,Private room,Pull-out Sofa,2,14,Strict_14,2019-02-11,1,1,1,6,1,119.0,500.0,90.0,60,1,36,Rio de Janeiro,Rio De Janeiro,Brazil,-43.19017673407163,-22.96554937276806,160,10.0,10.0,10.0,10.0,10.0,9.0,97.0,16378976,100.0,3,True,Copacabana
4940063,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-02-18,5,1,3,32,1,453.0,0.0,94.0748,54,2,25,Karaköy,Istanbul,Turkey,28.97436,41.02473,365,9.0,8.0,10.0,10.0,10.0,8.0,88.0,19097001,92.0,11,False,Karaköy
4951001,Apartment,Entire home/apt,Real Bed,5,30,Strict_14,2019-02-11,3,1,2,0,1,280.0,500.0,130.0,0,1,9,rio de janeiro,Rio De Janeiro,Brazil,-43.18677729197896,-22.914330266994046,365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25520187,0.0,1,False,
4951402,Apartment,Private room,Real Bed,2,1125,flexible,2019-03-06,2,1,1,171,1,78.0,0.0,10.0,0,1,22,New York,New York,United States,-73.97502,40.78936,0,10.0,9.0,10.0,10.0,10.0,10.0,94.0,10795846,0.0,2,True,Upper West Side
4952989,Apartment,Private room,Real Bed,1,1125,Strict_14,2019-03-07,4,1,2,40,1,62.0,0.0,70.0,20,1,39,Brooklyn,New York,United States,-73.94993,40.66585,34,10.0,10.0,10.0,10.0,10.0,10.0,98.0,25379501,0.0,2,True,Crown Heights
4957358,Loft,Entire home/apt,Real Bed,2,27,Strict_14,2019-03-07,3,1,1,219,1,145.0,250.0,120.0,25,2,36,Brooklyn,New York,United States,-73.93141,40.68306,22,10.0,10.0,10.0,10.0,9.0,9.0,97.0,90860,100.0,3,True,Bedford-Stuyvesant
4962247,Apartment,Private room,Real Bed,1,14,Strict_14,2019-03-11,2,1,1,4,2,601.25,625.0,197.5,-6,1,15,Hong Kong Island,Hong Kong Island,Hong Kong,114.1459,22.28451,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,8913942,0.0,3,False,Soho
4962894,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18,1,1,1,0,1,127.0,0.0,94.0748,0,1,31,Bakırköy,Istanbul,Turkey,28.86276,40.97677,365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25583488,0.0,1,False,
